Experiment.Accession,Experiment.Title,Organism.Name,Instrument,Submitter,Study.Accession,Study.Title,Sample.Accession,Sample.Title,Total.Size..Mb,Total.RUNs,Total.Spots,Total.Bases,Library.Name,Library.Strategy,Library.Source,Library.Selection
SRX3218357,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543219,NA,277.27,1,3161977,618493930,314879,WGS,GENOMIC,RANDOM
SRX3218356,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543218,NA,225.25,1,2484531,492298737,328740,WGS,GENOMIC,RANDOM
SRX3218354,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543217,NA,156.39,1,1690419,333781927,322487,WGS,GENOMIC,RANDOM
SRX3218351,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543213,NA,95.75,1,1229830,237311370,346886,WGS,GENOMIC,RANDOM
SRX3218350,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543212,NA,131.99,1,1678640,322282477,333399,WGS,GENOMIC,RANDOM
SRX3218349,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543211,NA,163.74,1,1810856,356458032,328743,WGS,GENOMIC,RANDOM
SRX3218348,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543210,NA,235.41,1,2543204,500966036,320303,WGS,GENOMIC,RANDOM
SRX3218344,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543206,NA,76.93,1,1049920,191136939,347295,WGS,GENOMIC,RANDOM
SRX3218343,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543205,NA,173.35,1,2013968,391670624,315662,WGS,GENOMIC,RANDOM
SRX3218341,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543204,NA,363.88,1,3915902,770399127,312121,WGS,GENOMIC,RANDOM
SRX3218340,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543203,NA,177.03,1,1915175,379798497,322468,WGS,GENOMIC,RANDOM
SRX3218338,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543200,NA,291,1,3375884,652967961,306576,WGS,GENOMIC,RANDOM
SRX3218337,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543199,NA,299.44,1,3278219,640670811,312110,WGS,GENOMIC,RANDOM
SRX3218336,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543198,NA,217.61,1,2516434,497778630,310255,WGS,GENOMIC,RANDOM
SRX3218335,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543197,NA,240.44,1,2622944,517081381,313222,WGS,GENOMIC,RANDOM
SRX3218334,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543196,NA,170.78,1,2035029,385910322,315180,WGS,GENOMIC,RANDOM
SRX3218333,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543195,NA,182.59,1,2193543,416009365,315200,WGS,GENOMIC,RANDOM
SRX3218332,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543194,NA,157.86,1,1862550,357855852,315240,WGS,GENOMIC,RANDOM
SRX3218331,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543193,NA,145.63,1,1707206,330687004,315255,WGS,GENOMIC,RANDOM
SRX3218330,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543191,NA,157.87,1,1864942,357987976,315258,WGS,GENOMIC,RANDOM
SRX3218329,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543192,NA,145.46,1,1720692,329109278,315257,WGS,GENOMIC,RANDOM
SRX3218328,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543189,NA,141.86,1,1683112,320130527,315288,WGS,GENOMIC,RANDOM
SRX3218327,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543190,NA,177.1,1,1930332,379822016,313221,WGS,GENOMIC,RANDOM
SRX3218326,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543188,NA,123.14,1,1445757,279926551,315253,WGS,GENOMIC,RANDOM
SRX3218312,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543174,NA,104.48,1,1236049,235534745,315283,WGS,GENOMIC,RANDOM
SRX3218311,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543173,NA,153.19,1,1861197,347660368,315276,WGS,GENOMIC,RANDOM
SRX3218310,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543172,NA,266.83,1,2936403,587280600,154816,WGS,GENOMIC,RANDOM
SRX3218309,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543171,NA,211.45,1,2339101,464688665,302927,WGS,GENOMIC,RANDOM
SRX3218308,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543170,NA,167.79,1,1874643,369521303,279889,WGS,GENOMIC,RANDOM
SRX3218307,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543169,NA,166.73,1,1909107,376986015,300766,WGS,GENOMIC,RANDOM
SRX3218306,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543168,NA,172.06,1,1985299,397059800,168495,WGS,GENOMIC,RANDOM
SRX3218305,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543167,NA,218.35,1,2201729,438403833,282466,WGS,GENOMIC,RANDOM
SRX3218298,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543164,NA,154.91,1,1612138,317594314,280646,WGS,GENOMIC,RANDOM
SRX3218297,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543163,NA,178.12,1,1877069,368401908,282615,WGS,GENOMIC,RANDOM
SRX3218296,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543162,NA,186.19,1,2034984,402097664,280318,WGS,GENOMIC,RANDOM
SRX3218295,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543161,NA,199.57,1,2201841,436774609,278162,WGS,GENOMIC,RANDOM
SRX3218294,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543160,NA,166.88,1,1929570,385914000,134259,WGS,GENOMIC,RANDOM
SRX3218293,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543159,NA,116.63,1,1426040,282999445,299917,WGS,GENOMIC,RANDOM
SRX3218292,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543158,NA,152.42,1,1671737,331947002,278173,WGS,GENOMIC,RANDOM
SRX3218285,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543155,NA,131.52,1,1567813,302388853,278069,WGS,GENOMIC,RANDOM
SRX3218284,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543154,NA,133.99,1,1574072,310095645,278116,WGS,GENOMIC,RANDOM
SRX3218283,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543153,NA,187.04,1,2008761,396736753,278193,WGS,GENOMIC,RANDOM
SRX3218282,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2543152,NA,151.73,1,1682385,336477000,140187,WGS,GENOMIC,RANDOM
SRX3199985,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526989,NA,84.89,1,1094190,216206025,391294,WGS,GENOMIC,RANDOM
SRX3199984,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526988,NA,55.63,1,603395,119932153,404303,WGS,GENOMIC,RANDOM
SRX3199983,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526987,NA,236.09,1,2663967,532078826,393862,WGS,GENOMIC,RANDOM
SRX3199982,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526986,NA,132.73,1,1590632,317213763,402758,WGS,GENOMIC,RANDOM
SRX3199981,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526985,NA,212.93,1,2595630,514010519,405960,WGS,GENOMIC,RANDOM
SRX3199980,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526984,NA,124.42,1,1374778,270854138,378721,WGS,GENOMIC,RANDOM
SRX3199979,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526983,NA,131.3,1,1646034,328337336,401633,WGS,GENOMIC,RANDOM
SRX3199978,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526981,NA,156.74,1,1768502,348859582,394889,WGS,GENOMIC,RANDOM
SRX3199977,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526982,NA,101.07,1,1147083,220854577,378686,WGS,GENOMIC,RANDOM
SRX3199976,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526980,NA,120.67,1,1411118,282435952,410838,WGS,GENOMIC,RANDOM
SRX3199975,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526978,NA,226.63,1,2289018,458476162,408243,WGS,GENOMIC,RANDOM
SRX3199974,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526979,NA,83.33,1,1018639,203741697,397403,WGS,GENOMIC,RANDOM
SRX3199973,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526977,NA,86.14,1,1136480,224270254,391326,WGS,GENOMIC,RANDOM
SRX3199972,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526976,NA,126.2,1,1497503,299507495,385800,WGS,GENOMIC,RANDOM
SRX3199971,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526973,NA,115.94,1,1326367,260725238,381667,WGS,GENOMIC,RANDOM
SRX3199970,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526974,NA,69.31,1,831139,166379626,397400,WGS,GENOMIC,RANDOM
SRX3199969,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526972,NA,289.67,1,3711961,714483619,401794,WGS,GENOMIC,RANDOM
SRX3199968,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526975,NA,189.5,1,2153454,421621269,365281,WGS,GENOMIC,RANDOM
SRX3199967,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526971,NA,139.64,1,1666756,331883893,390052,WGS,GENOMIC,RANDOM
SRX3199966,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526970,NA,94.16,1,1228422,241114676,391134,WGS,GENOMIC,RANDOM
SRX3199965,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526969,NA,205.37,1,2251712,434138401,363518,WGS,GENOMIC,RANDOM
SRX3199964,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526968,NA,160.65,1,2075031,392959623,384975,WGS,GENOMIC,RANDOM
SRX3199963,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526967,NA,104.1,1,1252903,249097063,402779,WGS,GENOMIC,RANDOM
SRX3199962,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526965,NA,119.29,1,1417917,283486472,385766,WGS,GENOMIC,RANDOM
SRX3199961,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526966,NA,105.15,1,1264947,250116415,388752,WGS,GENOMIC,RANDOM
SRX3199960,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526964,NA,148.84,1,1688303,337719431,408605,WGS,GENOMIC,RANDOM
SRX3199959,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526963,NA,187.5,1,2326793,434226229,364150,WGS,GENOMIC,RANDOM
SRX3199958,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526960,NA,174.08,1,1996816,394002919,376110,WGS,GENOMIC,RANDOM
SRX3199957,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526962,NA,104.97,1,1278554,253964749,399323,WGS,GENOMIC,RANDOM
SRX3199956,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526961,NA,187.11,1,2145308,407420349,376225,WGS,GENOMIC,RANDOM
SRX3199955,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526959,NA,112.68,1,1349930,268889847,402719,WGS,GENOMIC,RANDOM
SRX3199954,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526958,NA,166.63,1,1933022,380082507,387479,WGS,GENOMIC,RANDOM
SRX3199953,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526957,NA,185.93,1,2286529,454430381,401749,WGS,GENOMIC,RANDOM
SRX3199952,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526955,NA,114.2,1,1443125,280590553,384976,WGS,GENOMIC,RANDOM
SRX3199951,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526956,NA,113.38,1,1429450,258606881,383943,WGS,GENOMIC,RANDOM
SRX3199950,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526954,NA,372.78,1,3751523,752125490,408242,WGS,GENOMIC,RANDOM
SRX3199949,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526953,NA,285.86,1,3264869,637225835,394892,WGS,GENOMIC,RANDOM
SRX3199948,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526952,NA,189.46,1,2168745,421409434,365339,WGS,GENOMIC,RANDOM
SRX3199947,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526951,NA,117.27,1,1472396,293801699,401593,WGS,GENOMIC,RANDOM
SRX3199946,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526949,NA,130.07,1,1591305,314927907,388749,WGS,GENOMIC,RANDOM
SRX3199945,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526950,NA,277.65,1,3518864,692780208,388704,WGS,GENOMIC,RANDOM
SRX3199944,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526948,NA,190.03,1,2233326,434073601,367241,WGS,GENOMIC,RANDOM
SRX3199943,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526947,NA,160.06,1,1703670,331086945,364547,WGS,GENOMIC,RANDOM
SRX3199942,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526946,NA,200.25,1,2144768,424911053,379309,WGS,GENOMIC,RANDOM
SRX3199941,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526945,NA,350.09,1,4520232,819695075,383741,WGS,GENOMIC,RANDOM
SRX3199940,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526944,NA,281.48,1,3074761,600993247,377371,WGS,GENOMIC,RANDOM
SRX3199939,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526943,NA,84.7,1,1081334,216125645,387273,WGS,GENOMIC,RANDOM
SRX3199938,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526942,NA,166.9,1,1979192,388427632,399387,WGS,GENOMIC,RANDOM
SRX3199937,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526941,NA,296.75,1,2983001,598360662,408283,WGS,GENOMIC,RANDOM
SRX3199936,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526940,NA,189.42,1,2140160,414271688,379373,WGS,GENOMIC,RANDOM
SRX3199935,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526939,NA,157.88,1,2125170,372240660,382840,WGS,GENOMIC,RANDOM
SRX3199934,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526938,NA,127.73,1,1500750,295268013,399386,WGS,GENOMIC,RANDOM
SRX3199878,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526882,NA,183.2,1,1995293,390066074,360311,WGS,GENOMIC,RANDOM
SRX3199877,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526881,NA,202.29,1,2610011,472879512,356612,WGS,GENOMIC,RANDOM
SRX3199876,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526880,NA,122.85,1,1519705,276597363,383939,WGS,GENOMIC,RANDOM
SRX3199875,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526879,NA,87.52,1,1072245,212296835,388751,WGS,GENOMIC,RANDOM
SRX3199874,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526878,NA,126.43,1,1534053,307035455,406649,WGS,GENOMIC,RANDOM
SRX3199873,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526877,NA,299.59,1,3364227,656563192,382648,WGS,GENOMIC,RANDOM
SRX3199872,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526876,NA,214.77,1,2390150,465565660,360301,WGS,GENOMIC,RANDOM
SRX3199871,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526875,NA,73.96,1,905694,172750660,382824,WGS,GENOMIC,RANDOM
SRX3199870,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526874,NA,121.9,1,1502503,296308283,399730,WGS,GENOMIC,RANDOM
SRX3199869,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526873,NA,131.47,1,1649333,322724722,399755,WGS,GENOMIC,RANDOM
SRX3199868,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526871,NA,113.41,1,1371405,273370235,387042,WGS,GENOMIC,RANDOM
SRX3199867,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526872,NA,107.19,1,1388293,274103850,391135,WGS,GENOMIC,RANDOM
SRX3199866,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526869,NA,233.49,1,2516357,498118777,377380,WGS,GENOMIC,RANDOM
SRX3199865,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526870,NA,209.82,1,2110565,423030612,408241,WGS,GENOMIC,RANDOM
SRX3199864,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526868,NA,193.41,1,2166012,428959810,370598,WGS,GENOMIC,RANDOM
SRX3199863,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526867,NA,122.71,1,1475625,294869681,401741,WGS,GENOMIC,RANDOM
SRX3199862,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526866,NA,186.06,1,2199288,433204193,387477,WGS,GENOMIC,RANDOM
SRX3199861,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526865,NA,127.22,1,1522744,300479485,388760,WGS,GENOMIC,RANDOM
SRX3199860,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526864,NA,126.47,1,1528909,304606814,404710,WGS,GENOMIC,RANDOM
SRX3199859,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526862,NA,127.48,1,1499262,299379021,385799,WGS,GENOMIC,RANDOM
SRX3199858,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526863,NA,193.42,1,2175590,432420054,394891,WGS,GENOMIC,RANDOM
SRX3199857,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526861,NA,114.94,1,1455908,279460255,399753,WGS,GENOMIC,RANDOM
SRX3199856,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526860,NA,94.68,1,1143497,228539626,406664,WGS,GENOMIC,RANDOM
SRX3199855,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526858,NA,279.51,1,3609270,708912840,401797,WGS,GENOMIC,RANDOM
SRX3199854,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526859,NA,94.34,1,1197676,238392053,385864,WGS,GENOMIC,RANDOM
SRX3199853,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526857,NA,61.49,1,782316,155875545,389642,WGS,GENOMIC,RANDOM
SRX3199852,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526856,NA,137.54,1,1536710,301311252,378685,WGS,GENOMIC,RANDOM
SRX3199851,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526855,NA,204.07,1,2325745,465125758,408562,WGS,GENOMIC,RANDOM
SRX3199850,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526854,NA,80.49,1,1030157,205993517,387272,WGS,GENOMIC,RANDOM
SRX3199849,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526853,NA,121.65,1,1357704,267700516,381666,WGS,GENOMIC,RANDOM
SRX3199848,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526852,NA,157.74,1,1841545,362880526,376111,WGS,GENOMIC,RANDOM
SRX3199847,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526850,NA,109.79,1,1431241,260371286,383833,WGS,GENOMIC,RANDOM
SRX3199846,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526851,NA,61.27,1,735252,144733325,399322,WGS,GENOMIC,RANDOM
SRX3199845,,Escherichia coli,Illumina HiSeq 2500,PHE,SRP071789,Routine surveillance of E. coli and Shigella by Public Health England,SRS2526847,NA,166.87,1,1874138,372589554,394886,WGS,GENOMIC,RANDOM
